period;uidlevel2;namelevel2;uid_data_element;name_data_element;value
201801;F9w3VW1cQmb;hk Haut Katanga Province;A2jOtFQRoDD;C2 12.2 ABC+DDI+LPV/r Cès - Jours rupture de stock;0.5174825174825175
201802;F9w3VW1cQmb;hk Haut Katanga Province;A2jOtFQRoDD;C2 12.2 ABC+DDI+LPV/r Cès - Jours rupture de stock;0.5244755244755245
201803;F9w3VW1cQmb;hk Haut Katanga Province;A2jOtFQRoDD;C2 12.2 ABC+DDI+LPV/r Cès - Jours rupture de stock;0.5314685314685315
201804;F9w3VW1cQmb;hk Haut Katanga Province;A2jOtFQRoDD;C2 12.2 ABC+DDI+LPV/r Cès - Jours rupture de stock;0.48951048951048953
201805;F9w3VW1cQmb;hk Haut Katanga Province;A2jOtFQRoDD;C2 12.2 ABC+DDI+LPV/r Cès - Jours rupture de stock;0.4405594405594406
201806;F9w3VW1cQmb;hk Haut Katanga Province;A2jOtFQRoDD;C2 12.2 ABC+DDI+LPV/r Cès - Jours rupture de stock;0.43356643356643354
201807;F9w3VW1cQmb;hk Haut Katanga Province;A2jOtFQRoDD;C2 12.2 ABC+DDI+LPV/r Cès - Jours rupture de stock;0.42657342657342656
201808;F9w3VW1cQmb;hk Haut Katanga Province;A2jOtFQRoDD;C2 12.2 ABC+DDI+LPV/r Cès - Jours rupture de stock;0.45454545454545453
201801;F9w3VW1cQmb;hk Haut Katanga Province;A4FMkIKBwJn;C2 12.2 Sut, PGA, tressé, 75cm, dec.3, 2/0 aig.1/2c, R, eff.,30mm,Pce - Quantité consommée;0.4825174825174825
201802;F9w3VW1cQmb;hk Haut Katanga Province;A4FMkIKBwJn;C2 12.2 Sut, PGA, tressé, 75cm, dec.3, 2/0 aig.1/2c, R, eff.,30mm,Pce - Quantité consommée;0.4755244755244755
201803;F9w3VW1cQmb;hk Haut Katanga Province;A4FMkIKBwJn;C2 12.2 Sut, PGA, tressé, 75cm, dec.3, 2/0 aig.1/2c, R, eff.,30mm,Pce - Quantité consommée;0.48951048951048953
201804;F9w3VW1cQmb;hk Haut Katanga Province;A4FMkIKBwJn;C2 12.2 Sut, PGA, tressé, 75cm, dec.3, 2/0 aig.1/2c, R, eff.,30mm,Pce - Quantité consommée;0.46853146853146854
201805;F9w3VW1cQmb;hk Haut Katanga Province;A4FMkIKBwJn;C2 12.2 Sut, PGA, tressé, 75cm, dec.3, 2/0 aig.1/2c, R, eff.,30mm,Pce - Quantité consommée;0.45454545454545453
201806;F9w3VW1cQmb;hk Haut Katanga Province;A4FMkIKBwJn;C2 12.2 Sut, PGA, tressé, 75cm, dec.3, 2/0 aig.1/2c, R, eff.,30mm,Pce - Quantité consommée;0.43356643356643354
201807;F9w3VW1cQmb;hk Haut Katanga Province;A4FMkIKBwJn;C2 12.2 Sut, PGA, tressé, 75cm, dec.3, 2/0 aig.1/2c, R, eff.,30mm,Pce - Quantité consommée;0.44755244755244755
201808;F9w3VW1cQmb;hk Haut Katanga Province;A4FMkIKBwJn;C2 12.2 Sut, PGA, tressé, 75cm, dec.3, 2/0 aig.1/2c, R, eff.,30mm,Pce - Quantité consommée;0.45454545454545453
201801;F9w3VW1cQmb;hk Haut Katanga Province;A5PvdRz2w91;C2 12.2 Hydrocortisone 100mg Injectable - Jours rupture de stock;0.5174825174825175
201802;F9w3VW1cQmb;hk Haut Katanga Province;A5PvdRz2w91;C2 12.2 Hydrocortisone 100mg Injectable - Jours rupture de stock;0.5174825174825175
201803;F9w3VW1cQmb;hk Haut Katanga Province;A5PvdRz2w91;C2 12.2 Hydrocortisone 100mg Injectable - Jours rupture de stock;0.5244755244755245
201804;F9w3VW1cQmb;hk Haut Katanga Province;A5PvdRz2w91;C2 12.2 Hydrocortisone 100mg Injectable - Jours rupture de stock;0.4825174825174825
201805;F9w3VW1cQmb;hk Haut Katanga Province;A5PvdRz2w91;C2 12.2 Hydrocortisone 100mg Injectable - Jours rupture de stock;0.4965034965034965
201806;F9w3VW1cQmb;hk Haut Katanga Province;A5PvdRz2w91;C2 12.2 Hydrocortisone 100mg Injectable - Jours rupture de stock;0.46853146853146854
201807;F9w3VW1cQmb;hk Haut Katanga Province;A5PvdRz2w91;C2 12.2 Hydrocortisone 100mg Injectable - Jours rupture de stock;0.46853146853146854
201808;F9w3VW1cQmb;hk Haut Katanga Province;A5PvdRz2w91;C2 12.2 Hydrocortisone 100mg Injectable - Jours rupture de stock;0.45454545454545453
201801;F9w3VW1cQmb;hk Haut Katanga Province;ANuvnZtnSby;C2 12.2 Dextrose(Glucose) +NaCl 500ml, Baxter 5%+0,9% Injectable - Quantité consommée;0.5454545454545454
201802;F9w3VW1cQmb;hk Haut Katanga Province;ANuvnZtnSby;C2 12.2 Dextrose(Glucose) +NaCl 500ml, Baxter 5%+0,9% Injectable - Quantité consommée;0.5244755244755245
201803;F9w3VW1cQmb;hk Haut Katanga Province;ANuvnZtnSby;C2 12.2 Dextrose(Glucose) +NaCl 500ml, Baxter 5%+0,9% Injectable - Quantité consommée;0.5244755244755245
201804;F9w3VW1cQmb;hk Haut Katanga Province;ANuvnZtnSby;C2 12.2 Dextrose(Glucose) +NaCl 500ml, Baxter 5%+0,9% Injectable - Quantité consommée;0.5034965034965035
201805;F9w3VW1cQmb;hk Haut Katanga Province;ANuvnZtnSby;C2 12.2 Dextrose(Glucose) +NaCl 500ml, Baxter 5%+0,9% Injectable - Quantité consommée;0.48951048951048953
201806;F9w3VW1cQmb;hk Haut Katanga Province;ANuvnZtnSby;C2 12.2 Dextrose(Glucose) +NaCl 500ml, Baxter 5%+0,9% Injectable - Quantité consommée;0.46853146853146854
201807;F9w3VW1cQmb;hk Haut Katanga Province;ANuvnZtnSby;C2 12.2 Dextrose(Glucose) +NaCl 500ml, Baxter 5%+0,9% Injectable - Quantité consommée;0.48951048951048953
201808;F9w3VW1cQmb;hk Haut Katanga Province;ANuvnZtnSby;C2 12.2 Dextrose(Glucose) +NaCl 500ml, Baxter 5%+0,9% Injectable - Quantité consommée;0.4755244755244755
201801;F9w3VW1cQmb;hk Haut Katanga Province;AhCeoAFkdMA;C2 12.2 Hydrocortisone 100mg Injectable - Quantité consommée;0.5664335664335665
201802;F9w3VW1cQmb;hk Haut Katanga Province;AhCeoAFkdMA;C2 12.2 Hydrocortisone 100mg Injectable - Quantité consommée;0.5384615384615384
201803;F9w3VW1cQmb;hk Haut Katanga Province;AhCeoAFkdMA;C2 12.2 Hydrocortisone 100mg Injectable - Quantité consommée;0.5314685314685315
201804;F9w3VW1cQmb;hk Haut Katanga Province;AhCeoAFkdMA;C2 12.2 Hydrocortisone 100mg Injectable - Quantité consommée;0.5244755244755245
201805;F9w3VW1cQmb;hk Haut Katanga Province;AhCeoAFkdMA;C2 12.2 Hydrocortisone 100mg Injectable - Quantité consommée;0.5384615384615384
201806;F9w3VW1cQmb;hk Haut Katanga Province;AhCeoAFkdMA;C2 12.2 Hydrocortisone 100mg Injectable - Quantité consommée;0.4825174825174825
201807;F9w3VW1cQmb;hk Haut Katanga Province;AhCeoAFkdMA;C2 12.2 Hydrocortisone 100mg Injectable - Quantité consommée;0.48951048951048953
201808;F9w3VW1cQmb;hk Haut Katanga Province;AhCeoAFkdMA;C2 12.2 Hydrocortisone 100mg Injectable - Quantité consommée;0.46153846153846156
201801;F9w3VW1cQmb;hk Haut Katanga Province;AlcLiYUVyJr;C2 12.2 Kit test securité transfusionnelle - Kit - Jours rupture de stock;0.5034965034965035
201802;F9w3VW1cQmb;hk Haut Katanga Province;AlcLiYUVyJr;C2 12.2 Kit test securité transfusionnelle - Kit - Jours rupture de stock;0.5244755244755245
201803;F9w3VW1cQmb;hk Haut Katanga Province;AlcLiYUVyJr;C2 12.2 Kit test securité transfusionnelle - Kit - Jours rupture de stock;0.5174825174825175
