period;uidlevel2;namelevel2;uid_data_element;name_data_element;value
2018Q1;F9w3VW1cQmb;hk Haut Katanga Province;A2jOtFQRoDD;C2 12.2 ABC+DDI+LPV/r Cès - Jours rupture de stock;0.5244755244755245
2018Q2;F9w3VW1cQmb;hk Haut Katanga Province;A2jOtFQRoDD;C2 12.2 ABC+DDI+LPV/r Cès - Jours rupture de stock;0.45454545454545453
2018Q3;F9w3VW1cQmb;hk Haut Katanga Province;A2jOtFQRoDD;C2 12.2 ABC+DDI+LPV/r Cès - Jours rupture de stock;0.2937062937062937
2018Q1;F9w3VW1cQmb;hk Haut Katanga Province;A4FMkIKBwJn;C2 12.2 Sut, PGA, tressé, 75cm, dec.3, 2/0 aig.1/2c, R, eff.,30mm,Pce - Quantité consommée;0.4825174825174825
2018Q2;F9w3VW1cQmb;hk Haut Katanga Province;A4FMkIKBwJn;C2 12.2 Sut, PGA, tressé, 75cm, dec.3, 2/0 aig.1/2c, R, eff.,30mm,Pce - Quantité consommée;0.4522144522144522
2018Q3;F9w3VW1cQmb;hk Haut Katanga Province;A4FMkIKBwJn;C2 12.2 Sut, PGA, tressé, 75cm, dec.3, 2/0 aig.1/2c, R, eff.,30mm,Pce - Quantité consommée;0.3006993006993007
2018Q1;F9w3VW1cQmb;hk Haut Katanga Province;A5PvdRz2w91;C2 12.2 Hydrocortisone 100mg Injectable - Jours rupture de stock;0.5198135198135199
2018Q2;F9w3VW1cQmb;hk Haut Katanga Province;A5PvdRz2w91;C2 12.2 Hydrocortisone 100mg Injectable - Jours rupture de stock;0.4825174825174825
2018Q3;F9w3VW1cQmb;hk Haut Katanga Province;A5PvdRz2w91;C2 12.2 Hydrocortisone 100mg Injectable - Jours rupture de stock;0.3076923076923077
2018Q1;F9w3VW1cQmb;hk Haut Katanga Province;ANuvnZtnSby;C2 12.2 Dextrose(Glucose) +NaCl 500ml, Baxter 5%+0,9% Injectable - Quantité consommée;0.5314685314685315
2018Q2;F9w3VW1cQmb;hk Haut Katanga Province;ANuvnZtnSby;C2 12.2 Dextrose(Glucose) +NaCl 500ml, Baxter 5%+0,9% Injectable - Quantité consommée;0.48717948717948717
2018Q3;F9w3VW1cQmb;hk Haut Katanga Province;ANuvnZtnSby;C2 12.2 Dextrose(Glucose) +NaCl 500ml, Baxter 5%+0,9% Injectable - Quantité consommée;0.32167832167832167
2018Q1;F9w3VW1cQmb;hk Haut Katanga Province;AhCeoAFkdMA;C2 12.2 Hydrocortisone 100mg Injectable - Quantité consommée;0.5454545454545454
2018Q2;F9w3VW1cQmb;hk Haut Katanga Province;AhCeoAFkdMA;C2 12.2 Hydrocortisone 100mg Injectable - Quantité consommée;0.5151515151515151
2018Q3;F9w3VW1cQmb;hk Haut Katanga Province;AhCeoAFkdMA;C2 12.2 Hydrocortisone 100mg Injectable - Quantité consommée;0.317016317016317
2018Q1;F9w3VW1cQmb;hk Haut Katanga Province;AlcLiYUVyJr;C2 12.2 Kit test securité transfusionnelle - Kit - Jours rupture de stock;0.5151515151515151
