,period,uidlevel2,uidlevel3,namelevel2,namelevel3,fac_rupture
0,201701,BmKjwqc6BEw,IgSLfQbGSnF,kl Kwilu Province,kl Djuma Zone de Santé,0.0
1,201701,BmKjwqc6BEw,e6Wpbl5nqcD,kl Kwilu Province,kl Bulungu Zone de Santé,2.0
2,201701,BmKjwqc6BEw,fXTBfVcge4w,kl Kwilu Province,kl Vanga Zone de Santé,0.0
3,201701,F9w3VW1cQmb,BdGu22qs6aS,hk Haut Katanga Province,hk Tshamilemba Zone de Santé,0.0
4,201701,F9w3VW1cQmb,CSwaGvyMS6Z,hk Haut Katanga Province,hk Sakania Zone de Santé,10.0
5,201701,F9w3VW1cQmb,EofZhh5yYMG,hk Haut Katanga Province,hk Panda Zone de Santé,5.0
6,201701,F9w3VW1cQmb,GpdRlogsSiE,hk Haut Katanga Province,hk Kafubu Zone de Santé,1.0
7,201701,F9w3VW1cQmb,H8vCqAKUlyX,hk Haut Katanga Province,hk Lubumbashi Zone de Santé,1.0
8,201701,F9w3VW1cQmb,IOin37HS2Wz,hk Haut Katanga Province,hk Kenya Zone de Santé,0.0
9,201701,F9w3VW1cQmb,NR5cDy2jhiJ,hk Haut Katanga Province,hk Kambove Zone de Santé,0.0
10,201701,F9w3VW1cQmb,OcTqzK4K1RV,hk Haut Katanga Province,hk Kashobwe Zone de Santé,1.0
11,201701,F9w3VW1cQmb,Q22qlkhPQDO,hk Haut Katanga Province,hk Kikula Zone de Santé,0.0
12,201701,F9w3VW1cQmb,QA2FRWLQqWE,hk Haut Katanga Province,hk Kisanga Zone de Santé,0.0
13,201701,F9w3VW1cQmb,QteKQ66ixqO,hk Haut Katanga Province,hk Mumbunda Zone de Santé,0.0
14,201701,F9w3VW1cQmb,Vue5tcMpaGh,hk Haut Katanga Province,hk Kasenga Zone de Santé,1.0
15,201701,F9w3VW1cQmb,YFSLTwHFlOk,hk Haut Katanga Province,hk Ruashi Zone de Santé,0.0
16,201701,F9w3VW1cQmb,ZMH0kkBQFs9,hk Haut Katanga Province,hk Kipushi Zone de Santé,5.0
17,201701,F9w3VW1cQmb,bAFJ18IAf2S,hk Haut Katanga Province,hk Kapolowe Zone de Santé,2.0
18,201701,F9w3VW1cQmb,fdlN13eHB5u,hk Haut Katanga Province,hk Pweto Zone de Santé,10.0
