"","level_2_name","level_2_id","level_3_name","level_3_id","source","periods","value"
"1","bu Bas Uele Province","rWrCdr321Qu","bu Aketi Zone de Santé","LOm8B3vy1qR","cordaid","201701",278
"2","bu Bas Uele Province","rWrCdr321Qu","bu Aketi Zone de Santé","LOm8B3vy1qR","cordaid","201702",180
"3","bu Bas Uele Province","rWrCdr321Qu","bu Aketi Zone de Santé","LOm8B3vy1qR","cordaid","201703",110
"4","bu Bas Uele Province","rWrCdr321Qu","bu Aketi Zone de Santé","LOm8B3vy1qR","cordaid","201704",82
"5","bu Bas Uele Province","rWrCdr321Qu","bu Aketi Zone de Santé","LOm8B3vy1qR","cordaid","201705",54
"6","bu Bas Uele Province","rWrCdr321Qu","bu Aketi Zone de Santé","LOm8B3vy1qR","cordaid","201706",35
"7","bu Bas Uele Province","rWrCdr321Qu","bu Aketi Zone de Santé","LOm8B3vy1qR","cordaid","201707",48
"8","bu Bas Uele Province","rWrCdr321Qu","bu Aketi Zone de Santé","LOm8B3vy1qR","cordaid","201708",50
"9","bu Bas Uele Province","rWrCdr321Qu","bu Aketi Zone de Santé","LOm8B3vy1qR","cordaid","201709",52
"10","bu Bas Uele Province","rWrCdr321Qu","bu Aketi Zone de Santé","LOm8B3vy1qR","cordaid","201710",57
"11","bu Bas Uele Province","rWrCdr321Qu","bu Aketi Zone de Santé","LOm8B3vy1qR","cordaid","201711",61
"12","bu Bas Uele Province","rWrCdr321Qu","bu Aketi Zone de Santé","LOm8B3vy1qR","cordaid","201712",62
"13","bu Bas Uele Province","rWrCdr321Qu","bu Ango Zone de Santé","rLPkZegjzaS","combine","201701",157
"14","bu Bas Uele Province","rWrCdr321Qu","bu Ango Zone de Santé","rLPkZegjzaS","combine","201702",145
"15","bu Bas Uele Province","rWrCdr321Qu","bu Ango Zone de Santé","rLPkZegjzaS","combine","201703",150
"16","bu Bas Uele Province","rWrCdr321Qu","bu Ango Zone de Santé","rLPkZegjzaS","combine","201704",171
"17","bu Bas Uele Province","rWrCdr321Qu","bu Ango Zone de Santé","rLPkZegjzaS","combine","201705",192
"18","bu Bas Uele Province","rWrCdr321Qu","bu Ango Zone de Santé","rLPkZegjzaS","combine","201706",214
"19","bu Bas Uele Province","rWrCdr321Qu","bu Ango Zone de Santé","rLPkZegjzaS","combine","201707",302
"20","bu Bas Uele Province","rWrCdr321Qu","bu Ango Zone de Santé","rLPkZegjzaS","combine","201708",320
"21","bu Bas Uele Province","rWrCdr321Qu","bu Ango Zone de Santé","rLPkZegjzaS","combine","201709",354
"22","bu Bas Uele Province","rWrCdr321Qu","bu Ango Zone de Santé","rLPkZegjzaS","combine","201710",382
"23","bu Bas Uele Province","rWrCdr321Qu","bu Ango Zone de Santé","rLPkZegjzaS","combine","201711",403
"24","bu Bas Uele Province","rWrCdr321Qu","bu Ango Zone de Santé","rLPkZegjzaS","combine","201712",419
"25","bu Bas Uele Province","rWrCdr321Qu","bu Ango Zone de Santé","rLPkZegjzaS","pnls","201701",39
"26","bu Bas Uele Province","rWrCdr321Qu","bu Ango Zone de Santé","rLPkZegjzaS","pnls","201702",38
"27","bu Bas Uele Province","rWrCdr321Qu","bu Ango Zone de Santé","rLPkZegjzaS","pnls","201703",39
"28","bu Bas Uele Province","rWrCdr321Qu","bu Ango Zone de Santé","rLPkZegjzaS","pnls","201704",40
"29","bu Bas Uele Province","rWrCdr321Qu","bu Ango Zone de Santé","rLPkZegjzaS","pnls","201705",39
"30","bu Bas Uele Province","rWrCdr321Qu","bu Ango Zone de Santé","rLPkZegjzaS","pnls","201706",38
"31","bu Bas Uele Province","rWrCdr321Qu","bu Ango Zone de Santé","rLPkZegjzaS","pnls","201707",39
"32","bu Bas Uele Province","rWrCdr321Qu","bu Ango Zone de Santé","rLPkZegjzaS","pnls","201708",40
"33","bu Bas Uele Province","rWrCdr321Qu","bu Ango Zone de Santé","rLPkZegjzaS","pnls","201709",39
"34","bu Bas Uele Province","rWrCdr321Qu","bu Ango Zone de Santé","rLPkZegjzaS","pnls","201710",38
"35","bu Bas Uele Province","rWrCdr321Qu","bu Ango Zone de Santé","rLPkZegjzaS","pnls","201711",39
"36","bu Bas Uele Province","rWrCdr321Qu","bu Bondo Zone de Santé","ebKZ38Ejpb5","combine","201701",598
"37","bu Bas Uele Province","rWrCdr321Qu","bu Bondo Zone de Santé","ebKZ38Ejpb5","combine","201702",276
"38","bu Bas Uele Province","rWrCdr321Qu","bu Bondo Zone de Santé","ebKZ38Ejpb5","combine","201703",321
"39","bu Bas Uele Province","rWrCdr321Qu","bu Bondo Zone de Santé","ebKZ38Ejpb5","combine","201704",370
"40","bu Bas Uele Province","rWrCdr321Qu","bu Bondo Zone de Santé","ebKZ38Ejpb5","combine","201705",320
"41","bu Bas Uele Province","rWrCdr321Qu","bu Bondo Zone de Santé","ebKZ38Ejpb5","combine","201706",288
"42","bu Bas Uele Province","rWrCdr321Qu","bu Bondo Zone de Santé","ebKZ38Ejpb5","combine","201707",327
"43","bu Bas Uele Province","rWrCdr321Qu","bu Bondo Zone de Santé","ebKZ38Ejpb5","combine","201708",329
"44","bu Bas Uele Province","rWrCdr321Qu","bu Bondo Zone de Santé","ebKZ38Ejpb5","combine","201709",330
"45","bu Bas Uele Province","rWrCdr321Qu","bu Bondo Zone de Santé","ebKZ38Ejpb5","combine","201710",346
"46","bu Bas Uele Province","rWrCdr321Qu","bu Bondo Zone de Santé","ebKZ38Ejpb5","combine","201711",359
"47","bu Bas Uele Province","rWrCdr321Qu","bu Bondo Zone de Santé","ebKZ38Ejpb5","combine","201712",378
"48","bu Bas Uele Province","rWrCdr321Qu","bu Bondo Zone de Santé","ebKZ38Ejpb5","cordaid","201701",16
"49","bu Bas Uele Province","rWrCdr321Qu","bu Bondo Zone de Santé","ebKZ38Ejpb5","cordaid","201702",25
